uhhidfs,uhhidp,k1,k2,k3,k3_x,k4,k5,k51,k52,k53,k54,k55,k56,k57,k5_other,k6,k61,k62,k63,k64,k65,k66,k67,k68,k6_other,k7,k7_other
25,3000597,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 1 5,1,0,1,0,1,0,0,0,NA,5,NA
26,3000596,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 5 6,1,0,0,1,1,1,0,0,NA,5,NA
27,3000594,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 5,1,0,0,1,1,0,0,0,NA,5,NA
28,3000595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 6 5,0,0,1,0,1,1,0,0,NA,3,NA
29,3000592,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6 3,0,0,1,0,1,1,0,0,NA,3,NA
30,3000505,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,Not applicable,7,Not applicable
31,3000852,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 5 4,1,0,1,1,1,0,0,0,NA,5,NA
32,3000512,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 6,1,0,0,0,1,1,0,0,NA,5,NA
33,3002852,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6 3,0,0,1,0,1,1,0,0,NA,3,NA
34,1000730,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6 3,0,0,1,0,1,1,0,0,NA,3,NA
35,1000627,1,1,1,The information helps me decide whether or not to start planting,1,1 6,1,0,0,0,0,1,0,NA,1 4 5 3,1,0,1,1,1,0,0,0,NA,5,NA
36,1000724,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 5 6,0,0,1,0,1,1,0,0,NA,3,NA
37,2000284,1,2,1,Early planting time,1,1,1,0,0,0,0,0,0,NA,7,0,0,0,0,0,0,1,0,NA,3,NA
38,1001683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
39,1000981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 2 4 5 7,1,1,0,1,1,0,1,0,NA,1,NA
40,1000634,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
41,1000375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,5,NA
42,2000391,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 4,0,0,1,1,0,0,0,0,NA,3,NA
43,2000319,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3,1,0,1,0,0,0,0,0,NA,3,NA
44,2000320,1,1,1,Helps me to know when to plant,1,4,0,0,0,1,0,0,0,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
45,2000390,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 6,1,0,0,1,0,1,0,0,NA,5,NA
46,2000388,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,NA,2,NA
47,2000389,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,NA,2,NA
48,1000310,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4 5 6,1,0,1,1,1,1,0,0,NA,3,NA
49,1000990,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,3,NA
50,2000599,1,2,0,NA,1,4,0,0,0,1,0,0,0,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
51,2000386,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
52,2000387,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
53,2000321,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
54,2000607,1,1,1,It helps him in planning the planting season,1,4,0,0,0,1,0,0,0,NA,1 3 5,1,0,1,0,1,0,0,0,NA,2,NA
55,2000463,1,1,1,Changing the types of crops to grow and other businesses,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4,1,0,0,1,0,0,0,0,NA,5,NA
56,2000462,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,4,NA
57,2000473,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 7,1,0,0,0,0,0,1,0,NA,5,NA
58,1000341,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 6,0,0,1,0,0,1,0,0,NA,5,NA
59,1000374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
60,2000480,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,5,NA
61,2000384,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 5,0,0,1,0,1,0,0,0,NA,5,NA
62,2000385,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,4,NA
63,2000348,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 6,1,0,0,1,0,1,0,0,NA,5,NA
64,2000346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,0,NA,3,NA
65,2000213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
66,2000214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,Receive no information,0,NA
67,3001051,1,2,1,For making agriculture decisions,1,4,0,0,0,1,0,0,0,NA,1 3,1,0,1,0,0,0,0,0,NA,5,NA
68,3001052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 1,1,0,1,0,0,0,0,0,NA,5,NA
69,3001053,1,1,1,For making agriculture decisions especially planting seasons.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4,1,0,0,1,0,0,0,0,NA,4,NA
70,3001049,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 3 5 4,0,1,1,1,1,0,0,0,NA,2,NA
71,3001015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 3 4 6,0,1,1,1,0,1,0,0,NA,4,NA
72,3001014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 2 5 4 6 7,1,1,0,1,1,1,1,0,NA,2,NA
73,3001016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 3,1,0,1,0,1,0,0,0,NA,5,NA
74,3001050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 3 4 5 7 6,0,1,1,1,1,1,1,0,NA,3,NA
75,1001993,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 7 6,1,0,0,0,0,1,1,0,NA,5,NA
76,3000937,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4 5 6,1,0,1,1,1,1,0,0,NA,1,NA
77,3000938,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
78,3000941,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
79,3000104,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
80,1001923,1,2,0,NA,1,1 3,1,0,1,0,0,0,0,NA,1 3,1,0,1,0,0,0,0,0,NA,3,NA
81,1001924,1,1,1,Helps me to know when am to plant my crops,1,1 2,1,1,0,0,0,0,0,NA,1 3,1,0,1,0,0,0,0,0,NA,3,NA
82,3000067,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
83,3000068,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
84,3000232,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
85,3000230,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 7,1,0,0,0,0,0,1,0,NA,3,NA
86,3000231,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
87,1002237,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 4 5 6,0,0,1,1,1,1,0,0,NA,5,NA
88,1002279,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 4 5 6,0,0,1,1,1,1,0,0,NA,5,NA
89,1000162,1,3,0,NA,1,3 5,0,0,1,0,1,0,0,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
90,3000095,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6,0,0,0,0,1,1,0,0,NA,3,NA
91,3000093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 6 7,0,0,0,0,1,1,1,0,NA,3,NA
92,3001064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 7,1,0,0,0,0,0,1,0,NA,2,NA
93,3001065,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,2,NA
94,3001026,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,2,NA
95,3000336,1,1,1,To make agricultural decisions,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
96,3000337,1,2,0,NA,1,2,0,1,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
97,3000340,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
98,3000339,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
99,3000338,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
100,3000334,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
101,3000063,1,1,1,It tells when to start planting our crops,1,5,0,0,0,0,1,0,0,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
102,3000319,1,1,1,It helps us to know when to start planting crops and when not plant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 3,1,0,1,0,1,0,0,0,NA,5,NA
103,3000066,1,1,1,Because it helps to know how weather climate is/has changed,1,1,1,0,0,0,0,0,0,NA,1 5 3,1,0,1,0,1,0,0,0,NA,5,NA
104,3000064,1,1,1,Determine the best planting months,1,3,0,0,1,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,NA,1,NA
105,3000065,1,1,1,It has guided me to know more about climate change and the causes,1,6,0,0,0,0,0,1,0,NA,1 5,1,0,0,0,1,0,0,0,NA,5,NA
106,3000326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3,1,0,1,0,0,0,0,0,NA,5,NA
107,3000325,1,2,1,"Radio,talking about weather changes",1,1 5,1,0,0,0,1,0,0,NA,3,0,0,1,0,0,0,0,0,NA,5,NA
108,3000321,1,2,1,Tell us about seasons,1,5,0,0,0,0,1,0,0,NA,1 3,1,0,1,0,0,0,0,0,NA,5,NA
109,3000323,1,2,0,NA,1,5,0,0,0,0,1,0,0,NA,1 3,1,0,1,0,0,0,0,0,NA,5,NA
110,3000322,1,2,1,Know seasons,1,5 4,0,0,0,1,1,0,0,NA,1 3,1,0,1,0,0,0,0,0,NA,1,NA
111,3000324,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 1 3 4 5 6 7,1,1,1,1,1,1,1,0,NA,1,NA
112,3000320,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 2 3,1,1,1,0,0,0,0,0,NA,1,NA
113,3000332,1,1,1,Helps in early planting planning,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
114,3000330,1,1,1,Helps in planning for planting,1,3,0,0,1,0,0,0,0,NA,4 7,0,0,0,1,0,0,1,0,NA,3,NA
115,3000329,1,1,1,Planning for planting time,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,2,NA
116,3000327,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,2,NA
117,3000328,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
118,4000118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,NA,0,NA
119,4000119,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,From God,0,NA
120,4000120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,1,From God,7,From God
121,4000121,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,0,NA,5,NA
122,4000122,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,0,NA,0,NA
123,4000123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 5,1,0,1,0,1,0,0,0,NA,3,NA
124,4000124,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
125,4000125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
126,4000126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
127,4000127,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 3 6 1,1,0,1,0,1,1,0,0,NA,3,NA
128,4000128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,2,NA
129,4000129,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 5,0,0,1,0,1,0,0,0,NA,1,NA
130,4000130,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 5 4,0,0,1,1,1,0,0,0,NA,1,NA
131,4000131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
132,4000132,1,1,1,Help plan on when to plant crops,1,1,1,0,0,0,0,0,0,NA,1 3 4,1,0,1,1,0,0,0,0,NA,2,NA
133,4000133,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 3 4,1,0,1,1,1,0,0,0,NA,2,NA
134,4000134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4,1,0,1,1,0,0,0,0,NA,2,NA
135,4000135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4,1,0,1,1,0,0,0,0,NA,0,NA
136,3000070,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
137,3000071,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,5,NA
138,3000273,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
139,2000459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
140,2000460,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
141,3000272,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,3,NA
142,3000269,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,3,NA
143,3000271,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
144,3000407,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,5,NA
145,3000408,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
146,3000409,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,2,NA
147,2000458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
148,2000461,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
149,3000162,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,0,NA
150,2000555,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 5,0,0,1,0,1,0,0,0,NA,5,NA
151,3000154,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 5 7,1,0,1,0,1,0,1,0,NA,5,NA
152,2000650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 6,0,0,0,1,0,1,0,0,NA,3,NA
153,2000652,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 6,1,0,1,0,0,1,0,0,NA,5,NA
154,3000411,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
155,2000595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,0,NA
156,2000641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 4 5,1,0,0,1,1,0,0,0,NA,5,NA
157,2000551,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 6,1,0,1,0,0,1,0,0,NA,5,NA
158,3000069,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 5 6,0,0,0,0,1,1,1,0,NA,2,NA
159,1000351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 6,1,0,0,0,0,1,0,0,NA,5,NA
160,1000458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 5 4,1,0,1,1,1,0,0,0,NA,2,NA
161,3000245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
162,1000303,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4 5 6,1,0,1,1,1,1,0,0,NA,3,NA
163,1000261,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
164,1000469,1,1,1,It helps me to known the time when to plant which type of crop and when to start clearing the gardens.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 4 5 6,1,0,1,1,1,1,0,0,NA,3,NA
165,1000350,1,1,1,It always helps me know when to start my faming activities.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5 7,1,0,0,0,1,0,1,0,NA,2,NA
166,3000241,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,3,NA
167,1001679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,3,NA
168,1000589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 7,0,0,0,0,1,0,1,0,NA,2,NA
169,1000445,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 7,0,0,0,0,1,0,1,0,NA,3,NA
170,2000522,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
171,2000523,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,5,NA
172,2000524,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,5,NA
173,2000525,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,1,0,0,NA,5,NA
174,2000362,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,NA,5,NA
175,1002402,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,1,NA
176,1002405,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 5,1,0,0,0,1,0,0,0,NA,5,NA
177,1001753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3,1,0,1,0,0,0,0,0,NA,0,NA
178,1001749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 4,0,0,1,1,0,0,0,0,NA,5,NA
179,1001750,1,1,0,NA,1,1 3,1,0,1,0,0,0,0,NA,4,0,0,0,1,0,0,0,0,NA,5,NA
180,1001751,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 4 5,0,0,1,1,1,0,0,0,NA,5,NA
181,1000380,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,0,NA,4,NA
182,1001996,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3,1,0,1,0,0,0,0,0,NA,3,NA
183,1001995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3 6,1,0,1,0,0,1,0,0,NA,3,NA
184,1002411,1,1,1,Helps me know wnen to plant my crops,1,4,0,0,0,1,0,0,0,NA,1 3 6,1,0,1,0,0,1,0,0,NA,3,NA
185,1000992,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3,1,0,1,0,0,0,0,0,NA,3,NA
186,1001678,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 1 3,1,1,1,0,0,0,0,0,NA,3,NA
187,1000319,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 3,1,0,1,0,0,0,0,0,NA,3,NA
188,1000320,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
189,1000993,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,3,NA
190,2000055,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
191,2000123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,2,NA
192,2000057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
193,2000056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
194,2000127,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
195,2000054,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,0,NA
